STT;Nhóm hàng ;Nhóm hàng/Loại;Tên sản phẩm;Model;Thông số chính;Giá (VND);;;;;;;;;;;;;;;;;;
1;Điện gia dụng;Bàn là;BÀN LÀ SUNHOUSE;SHD1072;"Màu sắc	Hồng
Điện áp	220v~/50Hz
Công suất	1200 W
Chế độ	Là khô
Đèn báo nguồn điện	Có
Cảm biến nhiệt	Có
Công tắc nguồn	Núm xoay
Bề mặt bàn là	Chống dính
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Trọng lượng	0.465kg
Bảo hành	12 tháng";250000;;;;;;;;;;;;;;;;;;
2;Điện gia dụng;Bàn là;BÀN LÀ SUNHOUSE;SHD2065;"Công suất: 1600W
Bình nước: 130 ml
Mặt đế: Ceramic chống dính
Chức năng:
Ủi khô
Phun hơi
Ủi hơi nước
Phun tia
Phun hơi thẳng đứng
Chiều dài dây điện: 157 cm
Tiện ích:
Không tạo vết cháy
Tăng giảm lượng hơi nước linh hoạt
Chống nhỏ giọt
Có rãnh cúc tiện lợi
Không xoắn dây (dây nguồn xoay 360 độ)
Chế độ an toàn:Tự động ngắt điện Kích thước - Khối lượng sản phẩm:
Ngang 25 cm - Cao 14.5 cm - Sâu 10 cm - Nặng 0.67 kg
Thương hiệu của: Việt Nam
Sản xuất tại: Trung Quốc
Năm ra mắt: 2018
Hãng: Sunhouse.";360000;;;;;;;;;;;;;;;;;;
3;Điện gia dụng;Bình nóng lạnh;BÌNH TẮM NƯỚC NÓNG ROSSI;RPG 15SQ;"Dung tích	
15 lít
Bình nóng lạnh	
Rossi
Loại bình nóng lạnh	
Gián tiếp
Sản xuất	
Việt Nam
Thương hiệu	
Việt Nam";1500000;;;;;;;;;;;;;;;;;;
4;Điện gia dụng;Bình nóng lạnh;BÌNH TẮM NƯỚC NÓNG ROSSI;RPG 20SL;"Dung tích        
20 lít
Bình nóng lạnh        
Rossi
Loại bình nóng lạnh        
Gián tiếp
Sản xuất        
Việt Nam
Thương hiệu        
Việt Nam";2000000;;;;;;;;;;;;;;;;;;
5;Điện gia dụng;Bếp ga;BẾP GA HAPPYTIME;HTB016;"Số lò nấu	1
Hệ thống đánh lửa	Magneto
Chất liệu mặt bếp	Không có
Kiềng bếp	Kiềng gang sơn
PEP	PEP gang sơn
Khung bếp	Gang sơn
Loại gas sử dụng	LPG
Kích thước sản phẩm	605 x 310 x 185 (mm)
Trọng lượng	7.0 kg
Bảo hành	12 tháng
Đặc điểm khác	- Thiết kế 4 cửa hút gió giúp cháy nhiên liệu tối ưu
- PEP gang chia lửa đều, ngọn lửa lớn
- Dễ dàng sử dụng
Thương hiệu	HAPPY TIME
Xuất xứ	Lắp ráp tại Việt Nam";750000;;;;;;;;;;;;;;;;;;
6;Điện gia dụng;Bếp ga;BẾP GA RINNAI;RV-615SLIMGL;" THƯƠNG HIỆU	 Rinnai RV-615SLIM(GL-D)
 LOẠI SẢN PHẨM	 Bếp Gas Dương
 XUẤT XỨ	 Việt Nam
TÍNH NĂNG NỔI BẬT	 – Trọng lượng 8,5 Kg
 – Thiết kế gọn gàng, tinh tế

 – Mặt kính chịu nhiệt, chịu lực cao cấp

 – Kiềng bếp tháo rời, phủ men chống rỉ

 – Đầu đốt bằng hợp kim đồng siêu bền

 – Hệ thống đánh lữa Magneto cực nhạy

 – Tích hợp đầu hâm tiện dụng

 – Lữa xanh tiết kiệm gas

 – Dễ dàng vệ sinh lau chùi

 KÍCH THƯỚC SẢN PHẨM	 604R x 450S x 140C mm
 BẢO HÀNH	 2 năm chính hãng";2400000;;;;;;;;;;;;;;;;;;
7;Điện gia dụng;Bếp điện từ;BẾP ĐÔI ĐIỆN TỪ SUNHOUSE;SHB8100;"Model	SHB8100
Số vùng nấu	2
Công suất trái	1800W
Công suất phải	1800W
Tổng công suất	3600W
Điện áp	220 - 240VAC / 50Hz
Chất liệu mâm từ	Đồng
Bảng điều khiển	Phím cảm ứng bấm
Loại nồi thích hợp	Nồi/chảo có đáy phẳng, bắt từ
Hẹn giờ	240 phút
Khả năng chịu tải của bếp	20kg
Chia sẻ công suất giữa các vùng nấu	20kg
Khóa trẻ em	Có
Kích thước sản phẩm	680 x 400 x 81mm
Kích thước mặt bếp	680 x 400mm
Kích thước cắt đá	655 x 365mm
Khối lượng	7.2 Kg
Kích thước đóng hộp	760 x 480 x 125mm
Thương hiệu	SUNHOUSE
Xuất xứ	TRUNG QUỐC
Bảo hành	36 tháng";3200000;;;;;;;;;;;;;;;;;;
8;Điện gia dụng;Bếp điện từ;BẾP ĐÔI ĐIỆN TỪ SUNHOUSE MAMA;MMB888D1;"Model	MMB888DI
Số vùng nấu	2
Công suất trái	2200W (Booster)
Công suất phải	2200W (Booster)
Điện áp	220 - 240VAC / 50Hz
Chất liệu mặt kính	Kính Ultra Vitro Ceramic
Độ dày mặt kính	4.0mm
Công nghệ Inverter	Có
Bảng điều khiển	Phím cảm ứng trượt, kết hợp bấm
Số bảng điều khiển	2
Mức công suất điều chỉnh nhiệt	9 mức (hiển thị W)
Loại nồi thích hợp	Nồi/chảo có đáy phẳng, bắt từ
Hẹn giờ	4 giờ
Chia sẻ công suất giữa các vùng nấu	Không
Khóa trẻ em	Có
Tự động nhận diện vùng nấu	Có
Cảnh báo & ngắt chống tràn	Có
Tính năng Slow Cook (nấu chậm)	Có
Ngắt khi không sử dụng	Có
Kích thước sản phẩm	730 x 430 x 85mm
Kích thước mặt bếp	730 x 430mm
Kích thước cắt đá	680 x 390mm
Thương hiệu	SUNHOUSE MAMA
Xuất xứ	Thái Lan
Bảo hành	36 tháng";5800000;;;;;;;;;;;;;;;;;;
9;Điện gia dụng;Máy giặt;Máy giặt TOSHIBA;M1000FV MK;"Loại máy giặt: Cửa trên
Lồng giặt: Lồng đứng
Khối lượng giặt: 9 Kg
Số người sử dụng: Từ 3 - 5 người
Kiểu động cơ: Truyền động gián tiếp (dây Curoa)
Tốc độ quay vắt tối đa: 700 vòng/phút
Chất liệu lồng giặt: Thép không gỉ
Chất liệu vỏ máy: Kim loại sơn tĩnh điện
Chất liệu nắp máy: Kính chịu lực
Sản xuất tại: Thái Lan
Năm ra mắt: 2022
Thời gian bảo hành động cơ: 2 năm";5900000;;;;;;;;;;;;;;;;;;
10;Điện gia dụng;Máy giặt;Máy giặt PANASONIC;NA-V10FA1;"Loại máy giặt: Cửa trước
Lồng giặt: Lồng ngang
Khối lượng giặt: 10 Kg
Số người sử dụng: Từ 5 - 7 người
Kiểu động cơ: Truyền động gián tiếp (dây Curoa)
Tốc độ quay vắt tối đa: 1400 vòng/phút
Chất liệu lồng giặt: Thép không gỉ
Chất liệu vỏ máy: Kim loại sơn tĩnh điện
Chất liệu cửa máy: Nhựa ABS + Kính cường lực
Sản xuất tại: Việt Nam
Năm ra mắt: 2024
Thời gian bảo hành động cơ: 12 năm";10500000;;;;;;;;;;;;;;;;;;
11;Điện gia dụng;Máy hút ẩm;MÁY HÚT ẨM KORICHI;KRC-25;"· Model: KRC-25
· Công suất hút ẩm: 25 lít / ngày (điều kiện 30°C, 80% RH)
· Điện áp định mức: 220–240V ~ 50–60Hz
· Công suất tiêu thụ điện: 300W
· Loại khí làm mát: R290 – thân thiện với môi trường
· Dung tích bình chứa nước: 4 lít
· Kích thước sản phẩm: 35 x 25 x 55cm (Rộng x Sâu x Cao)
· Chính sách bảo hành: Bảo hành tại nhà 24 tháng toàn quốc";4100000;;;;;;;;;;;;;;;;;;
12;Điện gia dụng;Máy hút ẩm;MÁY HÚT ẨM KORICHI;KRC-1150;"Model: KRC-1150
– Máy hút ẩm tích hợp lọc không khí
– Công suất: 680W
– Điện áp: 220-240V ~ 50-60 Hz
– Công suất 50 lít/ ngày
– Thân trắng, bảng điều khiển màu đen
– 3 tốc độ quạt
– 04 chế độ hút ẩm 55%, 50%, 45% và liên tục với HEPA
– Thể tích bình chứa 8 lít
– Chức năng hẹn giờ, khóa trẻ em
– Khí làm mát R290 thân thiện với môi trường
– Bảo hành tại nhà 24 tháng";6700000;;;;;;;;;;;;;;;;;;
13;Điện gia dụng;Máy lọc nước;MÁY LỌC NƯỚC HÒA PHÁT;HPR529;"Lưu lượng lọc:	15L/ h (Điều kiện phòng LAB)
Số vòi:	1
Số cấp lọc:	10
Kiểu lấy nước:	Núm vặn cơ
Màng lọc:	RO Htech 75 GPD nhập khẩu Thái Lan (vật liệu màng nhập khẩu Mỹ)
Hệ thống lọc thô:	3 lõi lọc thô (PP 5 micron, PP 5 micron, Than hoạt tính, PP 1 micron)
Các lõi chức năng:	6 lõi (T33 GAC, Maifan, Tourmaline, Hydrogen, Far Infrared, Nano Silver)
Hiệu suất lọc	50 - 55% (Điều kiện phòng LAB, nhiệt độ 25°C)
Bơm:	Bơm tăng áp Hòa Phát HP-ZX-50E
Điện áp:	220V/ 50Hz
Dung tích bình chứa:	3.2 G
Áp lực nước yêu cầu:	21/414 kPa
Chất lượng nước đầu vào:	Nước máy QCVN 02:2009/BYT
Chất lượng nước đầu ra:	QCVN 6-1:2010/BYT
Kích thước sản phẩm (R x C x S):	320 x 998 x 400 (mm)
Khối lượng sản phẩm:
Màu sắc khung tủ:	Nhựa đen - Khung thép sơn trắng";4000000;;;;;;;;;;;;;;;;;;
14;Điện gia dụng;Máy lọc nước;MÁY LỌC NƯỚC KAROFI;KAD-L85;"Màu sắc:        Đen
Kích thước:        320 x 415 x 990 mm
Khối lượng:        34 kg
Chất liệu vỏ:        Thép 
Công suất lọc        20L/h
Bình áp        5L
Hệ thống lọc        Hệ thống lọc 12 lõi Smax độc quyền: cụm lõi lọc thô Smax Pro V, màng RO, hệ thống lõi chức năng HP 6.2 thêm 1 lõi Nano Hydro-ion kiềm và và 1 lõi Hydro-ion kiềm
Các lõi chức năng        Bổ sung thêm lõi thay nhanh Hydro-ion kiềm, Nano Hydro-ion kiềm.Hệ lõi chức năng Smax hiệu suất cao HP 6.2: Mineral, ORP Alkaline, Hydrogen Plus, Tourmaline, T33-GAC, Nano Silver Plus.
Tỷ lệ thu hồi nước tinh khiết        Lên đến 60% (Trong điều kiện phòng lab, sử dụng linh kiện/ thiết bị đo lường tiêu chuẩn)
Số lượng vòi        2
Cụm lọc thô        3 lõi lọc thô Smax Pro V 1, Smax Pro V 2, Smax Pro V 3
Khuyến cáo điều kiện nước đầu vào        Nên sử dụng nguồn nước đầu vào đạt tiêu chuẩn nước sạch sinh hoạt QCVN 01-1:2018 để nước ra đạt để chất lượng nước đầu ra đạt QCVN 6-1:2010/BYT và đảm bảo tuổi thọ máy. Không dùng trực tiếp nguồn nước giếng khoan, nhiễm mặn, hoặc có độ cứng cao ...
Điện áp:        220V/50Hz
Công suất làm nóng:        430W
Công suất làm lạnh:        105W
Nhiệt độ nước Nóng (Nhiệt độ nước thực tế sẽ phụ thuộc vào nhiệt độ môi trường và thể tích nước lấy ra):        85 - 95 °C
Nhiệt độ nước lạnh (Nhiệt độ nước thực tế sẽ phụ thuộc vào nhiệt độ môi trường và thể tích nước lấy ra):        8 - 10 °C
Dung tích bình nóng:        2L
Dung tích bình lạnh:        2L
Màng lọc        RO 100 GPD thay nhanh Purifim sản xuất tại Mỹ";10500000;;;;;;;;;;;;;;;;;;
15;Điện gia dụng;Máy sấy;Máy sấy TOSHIBA;TD-H8SEV WK;"Màu sắc: WK (trắng)
Khối lượng giặt/sấy (kg): 7
Khối lượng tịnh (kg): 33
Nguồn điện: 220-240V/50Hz
Kích thước (RxSxC)mm: 595x555x840
Kích thước đóng gói (mm): 665x575x890
Xuất xứ: Trung Quốc";5800000;;;;;;;;;;;;;;;;;;
16;Điện gia dụng;Máy sấy;Máy sấy ELEXTROLUX;EDV804H3WC;"Loại máy: Sấy thông hơi
Khối lượng sấy: 8 Kg
Số người sử dụng: Từ 3 - 5 người
Động cơ: Truyền động gián tiếp (Dây curoa)
Chất liệu lồng sấy: Thép không gỉ
Úp ngược đặt lên máy giặt: Có
Cảm biến sấy khô: Có
Chất liệu vỏ máy: Thép sơn tĩnh điện
Chất liệu cửa: Nhựa 1 lớp
Dòng sản phẩm: 2024
Sản xuất tại: Thái Lan";9200000;;;;;;;;;;;;;;;;;;
17;Điện gia dụng;Máy sấy tóc;SẤY TÓC SUNHOUSE;SHD2305;"Công suất: 650W
Tốc độ sấy: 2 tốc độ
Kiểu dáng: Tay cầm gấp gọn
Chế độ bảo vệ: Tự ngắt khi quá nhiệt
Nhiệt độ tối đa: 50ºC - 70ºC
Nguồn điện áp: 220V / 50Hz
Kích thước - Khối lượng:
Ngang 19 cm - Cao 7 cm - Rộng 16 cm - Khối lượng 250g
Chiều dài dây điện: 145 cm
Thương hiệu của: Việt Nam
Sản xuất tại: Trung Quốc
Năm ra mắt: 2017
Hãng: Sunhouse.";150000;;;;;;;;;;;;;;;;;;
18;Điện gia dụng;Máy sấy tóc;SẤY TÓC SUNHOUSE;SHD2317;"Công suất: 1800W
Tốc độ sấy: 2 tốc độ, có sấy mát
Đầu sấy:
Đầu sấy hẹp
Kiểu dáng:
Tay cầm thẳng
Chế độ bảo vệ: Tự ngắt khi quá nhiệt
Tiện ích:
Có móc treo
Đầu sấy hẹp tạo kiểu tóc
Tấm nhiệt siêu bền
Nhiệt độ tối đa: 50ºC - 70ºC
Nguồn điện áp: 220V / 50Hz
Kích thước - Khối lượng:
Ngang 29.5 cm - Cao 27 cm - Rộng 9.5 cm - Khối lượng 600g
Chiều dài dây điện: 150 cm
Thương hiệu của: Việt Nam
Sản xuất tại: Trung Quốc
Năm ra mắt: 2019
Hãng: Sunhouse.";480000;;;;;;;;;;;;;;;;;;
19;Điện gia dụng;Máy xay sinh tố;MÁY XAY SINH TỐ SUNHOUSE;SHD5112;"Công suất	350 W
Dung tích cối xay	1 L
Màu sắc	Xanh
Khối lượng	2.5 kg
Khóa an toàn	Không
Tốc độ	2 tốc độ, 1 chế độ nhồi
Điện áp	220V/50Hz
Chức năng	Xay hoa quả, sinh tố + Xay thực phẩm khô
Chất liệu vỏ máy	Nhựa cao cấp siêu bền
Chất liệu cối xay	Thủy tinh chịu lực
Màn hình	Không
Lưới lọc	Không
Lưỡi dao xay	Inox cao cấp
Khả năng xay đá, đậu nành	Có
Bảng điều khiển	Nút bấm
Phụ kiện đi kèm	Không
Đặc điểm khác	Thiết kế gọn nhẹ, linh hoạt, an toàn khi sử dụng
2 cối linh hoạt
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Kích thước đóng hộp	200 x 170 x 388 (mm)
Bảo hành	12 tháng";350000;;;;;;;;;;;;;;;;;;
20;Điện gia dụng;Máy xay sinh tố;MÁY XAY SINH TỐ SUNHOUSE;SHD5322;"Công suất	220 W
Dung tích cối xay	1.25 L
Màu sắc	Đỏ
Khối lượng	2.5 kg
Khóa an toàn	Có
Tốc độ	2 tốc độ, 1 chế độ nhồi
Điện áp	220V~/50 Hz
Chức năng	Xay hoa quả, sinh tố + Xay thịt, cá, tôm + Xay thực phẩm khô
Chất liệu vỏ máy	Nhựa cao cấp
Chất liệu cối xay	Nhựa cao cấp
Màn hình	Không
Lưới lọc	Có
Lưỡi dao xay	Inox
Khả năng xay đá, đậu nành	Có
Bảng điều khiển	Núm xoay
Phụ kiện đi kèm	Thanh đẩy thực phẩm
Đặc điểm khác	3 cối linh hoạt
3 lưỡi dao xay riêng
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Bảo hành	12 tháng";850000;;;;;;;;;;;;;;;;;;
21;Điện gia dụng;Nồi chiên không dầu;NỒI CHIÊN KHÔNG DẦU SUNHOUSE;SHD4030;"Màu sắc	Đen
Chất liệu vỏ nồi	Nhựa PP siêu bền
Chất liệu ruột nồi	Thép sơn phủ chống dính
Dung tích	6.5 L
Công suất	1700 W
Điện áp	220 V~/50 Hz
Hẹn giờ	Có (1 – 60 phút)
Bảng điều khiển	Núm xoay
Đặc điểm khác	Công nghệ Rapid Air 360 độ
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Trọng lượng	4.8 Kg
Bảo hành	12 tháng";1200000;;;;;;;;;;;;;;;;;;
22;Điện gia dụng;Nồi chiên không dầu;NỒI CHIÊN KHÔNG DẦU SUNHOUSE;SHD4093;"Màu sắc	Đen – Bạc
Chất liệu vỏ nồi	Nhựa PP siêu bền
Chất liệu ruột nồi	Thép sơn phủ chống dính
Dung tích	10.5 L
Công suất	2000 W
Điện áp	220 V~/50 Hz
Hẹn giờ	Có (1 – 60 phút)
Màn hình	Cảm ứng
Thương hiệu	SUNHOUSE MAMA
Xuất xứ	Trung Quốc
Trọng lượng	6,5 Kg
Bảo hành	24 tháng";2000000;;;;;;;;;;;;;;;;;;
23;Điện gia dụng;Nồi cơm điện;NỒI CƠM ĐIỆN SUNHOUSE;SHD-8201;"Dung tích nồi	0.8 Lít
Chế độ	Nấu cơm, hâm nóng
Chất liệu lòng nồi	Hợp kim nhôm sơn chống dính FLEAD 2 lớp
Công suất	400W
Điện áp	220V~/50Hz
Bảng điều khiển	Nút cơ
Phụ kiện	Vỉ hấp, cốc đong gạo, thìa xới cơm, dây nguồn, HDSD
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Trọng lượng	1.8 kg
Bảo hành	12 tháng
Số người ăn	1 - 3 người
Công nghệ nấu	Mâm nhiệt";490000;;;;;;;;;;;;;;;;;;
24;Điện gia dụng;Nồi cơm điện;NỒI CƠM ĐIỆN SHAP;KS-NR181STV;"Nguồn điện nồi cơm điện	220 – 240V/ 50Hz – 60Hz
Dung Tích nồi cơm điện	1.8 L
Công suất nồi cơm điện	700 W
Trọng lượng nồi cơm điện	3.2 kg
Kích thước nồi cơm điện (RxSxC) mm	308 x 285 x 306";1350000;;;;;;;;;;;;;;;;;;
25;Điện gia dụng;Nồi áp suất;NỒI ÁP SUẤT ĐA NĂNG SUNHOUSE;SHD1552;"Dung tích nồi        5 lít
Chế độ/Chức năng        Đa chức năng nấu nướng: hầm gân, súp, cháo, gà, canh…
Màu sắc        Đỏ
Loại nồi        Nồi nắp rời
Chất liệu vỏ nồi        Thép phủ sơn tĩnh điện
Chất liệu lòng nồi        Hợp kim nhôm phủ chống dính Whitford (USA)
Công suất        900 W
Điện áp        220-240V/50Hz
Màn hình        Không
Bảng điều khiển        Núm xoay
Dây điện        Dây rời
Hẹn giờ        Không
Phụ kiện        Dây nguồn, Cốc đo, Muỗng, Sách HDSD
Đặc điểm khác        An toàn tuyệt đối trong quá trình sử dụng
Bảng điều khiển bằng tiếng Việt, dễ dàng sử dụng
Thương hiệu        SUNHOUSE
Bảo hành        12 tháng
Xuất xứ        Trung Quốc
Trọng lượng        4.36kg
Kích thước đóng hộp        320 x 320 x 350 (mm)";1050000;;;;;;;;;;;;;;;;;;
26;Điện gia dụng;Nồi áp suất;NỒI ÁP SUẤT ĐA NĂNG SUNHOUSE;SHD1756;"Dung tích nồi	6 lít
Chế độ/Chức năng	Đa chức năng nấu nướng: hầm gân, súp, cháo, gà, canh, nấu cơm, giữ ấm thực phẩm…
Màu sắc	Cà phê
Loại nồi	Nồi nắp liền
Chất liệu vỏ nồi	Thép phủ sơn tĩnh điện
Chất liệu lòng nồi	Hợp kim nhôm phủ chống dính Whitford (USA)
Công suất	1000 W
Điện áp	220V~/50Hz
Màn hình	Không
Bảng điều khiển	Núm xoay
Dây điện	Dây rời
Hẹn giờ	Không
Phụ kiện	Dây nguồn, Muỗng lấy cơm, Cốc đo
Đặc điểm khác	Bảng điều khiển bằng Tiếng Việt, dễ dàng khi sử dụng
An toàn tuyệt đối trong quá trình sử dụng
Thương hiệu	SUNHOUSE
Bảo hành	12 tháng
Xuất xứ	Trung Quốc
Trọng lượng	5.3 kg";1500000;;;;;;;;;;;;;;;;;;
