STT;Nhóm hàng ;Nhóm hàng/Loại;Tên sản phẩm;Model;Thông số chính;Giá (VND);;;;;;;;;;;;;;;;;;
27;Điện gia dụng;Tủ sấy quần áo;TỦ SẤY QUẦN ÁO SUNHOUSE;SHD2702;"Mã sản phẩm	SHD2702
Phương pháp sấy khô	Sấy khô tĩnh học (Nhiệt đối lưu)
Chức năng	Sấy khô - Treo trữ đồ
Công suất	900 W
Điện áp	220V~/50 Hz
Khối lượng sấy	10 kg
Thời gian sấy tối đa	180 phút
Bảng điều khiển	Núm xoay
Đèn UV diệt khuẩn	Không
Kích thước lồng sấy	70x45x150 cm
Kích thước đóng hộp	70x24x28 cm
Khối lượng	2.8 kg
Bảo hành	12 tháng
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc";1000000;;;;;;;;;;;;;;;;;;
28;Điện gia dụng;Tủ sấy quần áo;TỦ SẤY QUẦN ÁO SUNHOUSE;SHD2707;"Mã sản phẩm	SHD2707
Phương pháp sấy khô	Sấy khô tĩnh học (Nhiệt đối lưu)
Chức năng	Sấy khô - Treo trữ đồ
Công suất	1500 W
Điện áp	220V~/50 Hz
Khối lượng sấy	15 kg
Thời gian sấy tối đa	180 phút
Bảng điều khiển	Bảng điện tử
Đèn UV diệt khuẩn	Không
Phụ kiện	Điều khiển từ xa
Kích thước lồng sấy	87x44x180 cm
Kích thước đóng hộp	85x21x22 cm
Khối lượng	6.3 kg
Bảo hành	12 tháng
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc";1550000;;;;;;;;;;;;;;;;;;
29;Điện gia dụng;Ấm siêu tốc;ẤM SIÊU TỐC KORICHI;KRC-5318;"– Công suất: 1850W
– Điện áp: 220V ~ 50 Hz
– Dung tích: 1.8L
– Chất liệu kính chịu nhiệt tới 800 độ C
– Rơ le tự ngắt khi sôi
– Đèn led";250000;;;;;;;;;;;;;;;;;;
30;Điện gia dụng;Ấm siêu tốc;ẤM SIÊU TỐC SUNHOUSE;SHD1382;"Dung tích	1.7 lít
Màu sắc	Xanh
Thân ấm	2 lớp (inox 304 và nhựa PP)
Điện áp	220V – 50Hz
Công suất	1800W
Nắp ấm	Nhựa chịu nhiệt siêu bền
Tay cầm	Nhựa chịu nhiệt siêu bền
Nút mở	Nút ấn tại nắp
Công tắc nguồn	Nút bấm
Rơ-le	Tự động ngắt khi nước sôi, cạn nước hoặc ấm quá nóng
Đế tiếp điện	Đế tiếp điện xoay 360 độ
Đèn báo	Đèn tự động báo hiệu bật/tắt
Vạch báo mức nước	Không
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Trọng lượng	0.93 kg
Bảo hành	18 tháng";520000;;;;;;;;;;;;;;;;;;
31;Điện gia dụng;Ấm đun nước;ẤM ĐUN NƯỚC ĐẠT TƯỜNG;DL-04;"- Nhãn hiệu: ĐẠT TƯỜNG.

- Mã SP : DTDL04.

- Chất liệu : Inox ngoại nhập dày 0.04mm.

- Quai ấm: Núm vung làm bằng nhựa chống cháy.

- Dung tích : 5L.

- Công suất 1500W.

- Điện áp: 220V - 50Hz.

- Sản xuất : CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐẠT TƯỜNG.

";310000;;;;;;;;;;;;;;;;;;
32;Điện gia dụng;Ấm đun nước;ẤM ĐUN NƯỚC ĐẠT TƯỜNG;DL-08;"- Nhãn hiệu: ĐẠT TƯỜNG.

- Mã SP : DTDL-08XANH.

- Chất liệu : Inox ngoại nhập.

- Quai ấm: Núm vung làm bằng nhựa chống cháy.

- Dung tích : 5L.

- Công suất 1500W.

- Điện áp: 220V - 50Hz.

- Sản xuất : CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐẠT TƯỜNG.";350000;;;;;;;;;;;;;;;;;;
33;Điện lạnh;Tủ lạnh;Tủ lạnh Toshiba;RF-675WI PGV06 MG;"Kiểu tủ: Multi Door - 4 cánh
Dung tích tổng: 567 lít
Dung tích sử dụng: 515 lít - 4 - 5 người
Dung tích ngăn đá: 170 lít
Dung tích ngăn lạnh: 345 lít
Chất liệu cửa tủ lạnh: Mặt thép
Chất liệu khay ngăn lạnh: Kính chịu lực
Chất liệu ống dẫn gas, dàn lạnh:
Ống dẫn gas hợp kim - Lá tản nhiệt bằng nhôm
Năm ra mắt: 2024
Sản xuất tại: Trung Quốc";15500000;;;;;;;;;;;;;;;;;;
34;Điện gia dụng;Máy giặt;Máy giặt sấy PANASONIC;S106FC1LVT;"Loại máy giặt: Máy giặt sấy
Lồng giặt: Lồng ngang
Khối lượng giặt: Giặt 10 Kg - Sấy 6 Kg
Số người sử dụng: Từ 5 - 7 người
Kiểu động cơ: Truyền động gián tiếp (dây Curoa)
Tốc độ quay vắt tối đa: 1400 vòng/phút
Chất liệu lồng giặt: Thép không gỉ
Chất liệu vỏ máy: Kim loại sơn tĩnh điện
Chất liệu nắp máy: Đang cập nhật
Chất liệu cửa máy: Kính chịu lực
Sản xuất tại: Việt Nam
Năm ra mắt: 2022
Thời gian bảo hành động cơ: 12 năm";14200000;;;;;;;;;;;;;;;;;;
35;Điện lạnh;Tủ đông;Tủ đông HÒA PHÁT;HPF AD6783;"Loại tủ: Tủ đông
Dung tích tổng: 783 lít
Dung tích sử dụng: 783 lít - Ngăn đông 783 lít
Số cửa: 2 cửa
Số ngăn: 1 ngăn đông
Công suất danh định: 145W
Điện năng tiêu thụ: 3.48 kWh/ngày
Nhiệt độ ngăn đông (độ C): ≤ -18˚C
Công nghệ tích hợp:
Làm lạnh trực tiếp
Làm lạnh 5D
Công nghệ Extra Freezing
Chất liệu dàn lạnh: Đồng
Chất liệu lòng tủ: Nhôm sơn tĩnh điện
Chất liệu bên ngoài:
Thân tủ: Tôn sơn tĩnh điện, Cửa tủ: Tôn sơn tĩnh điện
Tiện ích:
Nút điều chỉnh nhiệt độ bên ngoài tủ
Khoá cửa tủ
Xẻng cạo tuyết
Giỏ đựng đồ
Lỗ thoát nước
Bánh xe
Kích thước, khối lượng:
Cao 91.6 cm - Ngang 206.6 cm - Sâu 82.9 cm - Nặng 85 kg
Loại Gas: R290
Độ ồn: 55 - 65 dB
Thương hiệu của: Việt Nam
Sản xuất tại: Việt Nam
Năm ra mắt: 2023
Hãng: Hoà Phát.";14200000;;;;;;;;;;;;;;;;;;
36;Điện lạnh;Tủ lạnh;Tủ lạnh Sharp;SJ-SBX440VG-BK;"Kiểu tủ:
Tủ lớn - Side by Side - 2 cánh
Dung tích tổng: 472 lít
Dung tích sử dụng: 442 lít - 4 - 5 người
Dung tích ngăn đá: 151 lít
Dung tích ngăn lạnh: 291 lít
Chất liệu cửa tủ lạnh: Kính cường lực
Chất liệu khay ngăn lạnh: Kính chịu lực
Chất liệu ống dẫn gas, dàn lạnh:
Ống dẫn gas bằng Đồng và Sắt - Lá tản nhiệt bằng Nhôm
Năm ra mắt: 2022
Sản xuất tại: Trung Quốc";13500000;;;;;;;;;;;;;;;;;;
37;Điện lạnh;Tủ lạnh;Tủ lạnh Panasonic;NR-BV331CPKV;"Thể tích thực 
Tổng cộng 300 L
Ngăn lạnh (PC): 203 L
Ngăn đông (FC): 97 L
Ngăn rau quả (VC)
Kích thước sản phẩm (RxSxC): 601 x 653 x 1,680 mm
Loại xả băng
Điều khiển PCB điện
Tiêu chuẩn / Quy định
QCVN 9:2012/BKHCN
TCVN 7828:2016, TCVN 7829:2016
Mức tiêu thụ năng lượng: 362 kWh/năm
Mức năng lượng: 5 Sao
Trọng lượng tịnh: 56 kg
Tổng trọng lượng: 62kg
Điện áp: 220 V
Héc: 50 Hz
Số cửa: 2
Màu cửa: Đen
Vật liệu cửa: Kim loại (DCM)
Bảng điều khiển: Bên trong";13500000;;;;;;;;;;;;;;;;;;
38;Điện tử;Tivi;Ti vi SAMSUNG;65 DU7700;"Thông số kỹ thuật

Độ phân giải: 4K (3,840 x 2,160)
HDMI: 3
USB: 1 x USB-A
Loại sản phẩm: LED
Hiển Thị
Kích thước màn hình: 65""
Tần số quét: 50Hz
Độ phân giải: 4K (3,840 x 2,160)
Video
Engine Hình ảnh: Crystal Processor 4K
HDR (High Dynamic Range): HDR
HDR 10+: Support
Contrast: Mega Contrast
Micro Dimming: UHD Dimming
Nâng cấp Tương phản: Yes
Motion Technology: Motion Xcelerator
AI Upscale: 4K Upscaling
Filmmaker Mode (FMM): Yes
Âm thanh
Adaptive Sound: Adaptive Sound
Object Tracking Sound: OTS Lite
Q-Symphony: Yes
Đầu ra âm thanh (RMS): 20W
Loại loa: 2CH
Kết nối đa phòng: No
Smart Service
Operating System: Tizen™ Smart TV
Bixby: Yes
Works with AI Speaker: Google Assistant (SG only)
Trình duyệt Web: Có
SmartThings Hub / Matter Hub / IoT-Sensor Functionality / Quick Remote: Yes
Smart Feature
Multi Device Experience: Mobile to TV, Sound Mirroring, Wireless TV On 
NFT: Nifty Gateway
Apple AirPlay: Yes
Daily+: Yes
Game Feature
Auto Game Mode (ALLM): Yes
VRR: Yes
HGiG: Yes
Tuner/Broadcasting
Truyền thanh Kỹ thuật số: DVB-T2 (*VN: DVB-T2C)
Bộ dò đài Analog: Yes
Data Broadcasting: HbbTV 2.0.3 (SG)
TV Key Support: Yes
Kết Nối
Wi-Fi: Yes (Wi-Fi 5)
Bluetooth: Yes (BT5.2)
HDMI: 3
HDMI (High Frame Rate): 4K 60Hz (for HDMI 1/2/3)
HDMI Audio Return Channel: eARC/ARC
Anynet+ (HDMI-CEC): Có
USB: 1 x USB-A
Ethernet (LAN): 1
RF In (Terrestrial / Cable input): 1/1(Common Use for Terrestrial)/0
Thiết kế
Thiết kế: Slim Look
Loại Bezel: 3 Bezel-less
Loại Mỏng: Slim look
Mặt trước: TITAN GRAY
Dạng chân đế: FLAT FEET
Stand Color: TITAN GRAY
Tính năng Phụ
Embeded POP: Có
EPG: Có
IP Control: Yes
Ngôn ngữ OSD: Local Languages
Khả năng truy cập
Accessibility - Voice Guide: UK English, China Chinese, Korean, Indonesia, Vietnamese
Low Vision Support: Audio Description, Zoom Menu and Text, High Contrast, SeeColors, Color Inversion, Grayscale, Auto Picture Off
Hearing Impaired Support: Closed Caption (Subtitle), Multi-output Audio, Sign Language Zoom
Motor Impaired Support: Slow Button Repeat, Remote Control App. for All
Power & Eco Solution
Nguồn cấp điện: AC100-240V~ 50/60Hz
Mức tiêu thụ nguồn (Tối đa): 170 W
Cảm biến Eco: Có
Tiêu chuẩn tiết kiệm năng lượng: 5
Mức tiêu thụ điện hàng năm (chuẩn châu Âu): N/A kWh
Tự động tắt nguồn: Có
Auto Power Saving: Yes
Kích thước
Package Size (WxHxD): 1606 x 950 x 179 mm
Set Size with Stand (WxHxD): 1452.9 x 879.5 x 267.4 mm
Set Size without Stand (WxHxD): 1452.9 x 834.0 x 60.6 mm
Stand (Basic) (WxD): 1025.5 x 267.4 mm
Stand (Minimum) (WxD): 303.9 x 267.4 mm
VESA Spec: 400 x 300 mm
Trọng lượng
Thùng máy: 23 kg
Có chân đế: 16.4 kg
Không có chân đế: 15.9 kg
Phụ kiện
Model bộ điều khiển từ xa: TM2360E (VN TM2360G)
No Gap Wall-mount (Y21 VESA): Yes
Optional Stand Support (Y20 Studio): Yes
Mini Wall Mount Support: Có
Full Motion Slim Wall Mount (Y22): Yes
Webcam Support: Yes
Zigbee / Thread Module: Dongle Support
Hướng dẫn Người dùng: Có
Cáp nguồn: Có";13000000;;;;;;;;;;;;;;;;;;
39;Điện tử;Tivi;TIVI LG;65UA7350PSB;"Thương hiệu	
LG
Mã sản phẩm	
65UA7350PSB
Loại Tivi:	
Smart TV
Kích thước màn hình:	
65 inch
Độ phân giải:	
4K UltraHD (3840x2160px)
Khối lượng có chân:	
14.5 kg
Năm ra mắt:	
2025
Kích thước có chân:	
Ngang 144.6 cm - Cao 89.4 cm - Dày 30.9 cm
Kích thước không chân đế:	
Ngang 144.6 cm - Cao 83.4 cm - Dày 5.99 cm
Khối lượng không chân:	
14.5 Kg
Bluetooth:	
v5.1
Kết nối Internet:	
Ethernet (LAN)
WiFi 5
Cổng AV:	
Cổng Composite
Cổng xuất âm thanh:	
eARC (HDMI 1)
Hệ điều hành, giao diện:	
WebOS
Các ứng dụng sẵn có:	
Web Browser
YouTube
Netflix
Kết nối không dây với điện thoại, máy tính bảng:	
Chiếu màn hình qua AirPlay 2
Kết nối Bàn phím, chuột:	
Có
Tương tác thông minh:	
Tìm kiếm bằng giọng nói (có hỗ trợ tiếng Việt)
Kết nối âm thanh Bluetooth
Kết nối điện thoại thông minh - Mobile Connection
ThinQ
Tiện Ích:	
Điều khiển tivi bằng điện thoại
Điều khiển bằng giọng nói
Multi View chia nhỏ màn hình tivi
Kết nối ứng dụng các thiết bị trong nhà
Tích hợp MS Copilot
Trình duyệt web toàn màn hình
Remote thông minh
Chiếu hình từ điện thoại lên TV
Các tính năng AI (AI Agent, AI Concierge, AI Chatbot, AI Search)
Công nghệ hình ảnh:	
Hiệu chuẩn tự động Chế độ HGIG VRR (Variable Refresh Rate)
Dynamic Tone Mapping Tăng cường biểu cảm 4K
HDR (High Dynamic Range) FILMMAKER MODE™ Auto Calibration
Hiệu chuẩn tự động Auto Calibration
Công nghệ âm thanh:	
Clear Voice Pro
LG Sound Sync
AI Sound (Âm thanh AI)
Sound Mode Share (Chế độ chia sẻ âm thanh) WOW Orchestra
Tổng công suất loa:	
20W
Bảo hành	
24 tháng
Xuất xứ	
Indonesia";12900000;;;;;;;;;;;;;;;;;;
40;Điện lạnh;Tủ lạnh;Tủ lạnh Shap;SJ-FX420V-SL;"THÔNG SỐ KĨ THUẬT TỦ LẠNH (-)
Số cửa tủ:	4
Dung tích tổng (L):	404
Dung tích thực (L):	362
Dung tích thực ngăn đông (L):	125
Dung tích thực ngăn mát (L):	237
Chiều rộng (mm):	795
Chiều cao (mm):	1800
Chiều sâu (mm)	610
Môi chất lạnh:	R600a/66g
Màu sắc:	Xám
Chất liệu cửa tủ:	INOX
Khối lượng tủ (kg):	79
CÔNG NGHỆ (-)
Inverter:	Có
Công nghệ diệt khuẩn:	Anti-bacterial deodorizer
Khử mùi:	Có
TÍNH NĂNG CỦA TỦ LẠNH (-)
Bảng điều khiển:	Cảm ứng (bên ngoài)
Màn hình hiển thị nhiệt độ bên ngoài:	Có
Cấp đông nhanh:	Có (Express Freezing -22⁰C)
CẤU TẠO NGĂN MÁT (-)
Hệ thống đèn - ngăn mát:	LED
Ngăn/hộc giữ tươi:	Có
Ngăn/hộc rau, quả, trái cây:	Có
Vỉ (ngăn) trứng:	Có
Khay kính chịu lực - ngăn mát:	Có
Ngăn đựng tại cửa tủ ngăn mát:	4 ngăn
CẤU TẠO NGĂN ĐÔNG (-)
Vị trí ngăn đông:	Bên dưới
Vỉ đá viên	Có
Hộc thực phẩm:	4 Hộc";12500000;;;;;;;;;;;;;;;;;;
41;Điện lạnh;Tủ lạnh;Tủ lạnh Toshiba;RS696W1 PMV60-AG;"Kiểu tủ:
Tủ lớn - Side by Side - 2 cánh
Dung tích tổng:
611 lít
Dung tích sử dụng:
555 lít - Trên 5 người
Dung tích ngăn đá:
206 lít
Dung tích ngăn lạnh:
349 lít
Chất liệu cửa tủ lạnh:
Mặt thép
Chất liệu khay ngăn lạnh:
Kính chịu lực
Chất liệu ống dẫn gas, dàn lạnh:
Ống dẫn gas bằng Sắt và Đồng - Lá tản nhiệt bằng Nhôm
Năm ra mắt:
2024
Sản xuất tại:
Trung Quốc";12250000;;;;;;;;;;;;;;;;;;
42;Điện lạnh;Tủ đông;Tủ đông HÒA PHÁT;HPF AD6544;"Loại tủ:
Tủ đông
Dung tích tổng:
544 lít
Dung tích sử dụng:
544 lít - Ngăn đông 544 lít
Số cửa:
2 cửa
Số ngăn:
1 ngăn đông
Công suất danh định:
120W
Điện năng tiêu thụ:
2.88 kWh/ngày
Nhiệt độ ngăn đông (độ C):
≤ -18˚C
Công nghệ tích hợp:
Làm lạnh trực tiếp
Công nghệ Extra Freezing
Chất liệu dàn lạnh:
Đồng
Chất liệu lòng tủ:
Nhôm sơn tĩnh điện
Chất liệu bên ngoài:
Thân tủ: Tôn sơn tĩnh điện, Cửa tủ: Tôn sơn tĩnh điện
Tiện ích:
Nút điều chỉnh nhiệt độ bên ngoài tủ
Khoá cửa tủ
Xẻng cạo tuyết
Giỏ đựng đồ
Lỗ thoát nước
Bánh xe
Kích thước, khối lượng:
Cao 90.9 cm - Ngang 170 cm - Sâu 72 cm - Nặng 70 kg
Loại Gas:
R290
Độ ồn:
55 - 65 dB
Thương hiệu của:
Việt Nam
Sản xuất tại:
Việt Nam
Năm ra mắt:
2023
Hãng:
Hoà Phát.";11900000;;;;;;;;;;;;;;;;;;
43;Điện gia dụng;Máy giặt;Máy giặt Elextrolux;EWF1023P5SC;"Loại máy giặt:
Cửa trước
Lồng giặt:
Lồng ngang
Khối lượng giặt:
10 Kg
Số người sử dụng:
Từ 5 - 7 người
Kiểu động cơ:
Truyền động gián tiếp (dây Curoa)
Tốc độ quay vắt tối đa:
1200 vòng/phút
Chất liệu lồng giặt:
Thép không gỉ
Chất liệu vỏ máy:
Kim loại sơn tĩnh điện
Chất liệu cửa máy:
Nhựa ABS + Kính cường lực
Sản xuất tại:
Thái Lan
Năm ra mắt:
2024
Thời gian bảo hành động cơ:
10 năm";11400000;;;;;;;;;;;;;;;;;;
44;Điện gia dụng;Máy sấy;Máy sấy ELEXTROLUX;EDV904N3SC;"Loại máy:
Sấy thông hơi
Khối lượng sấy:
9 Kg
Số người sử dụng:
Từ 3 - 5 người
Động cơ:
Truyền động gián tiếp (Dây curoa)
Chất liệu lồng sấy:
Thép không gỉ
Úp ngược đặt lên máy giặt:
Có
Cảm biến sấy khô:
Có
Chất liệu vỏ máy:
Thép sơn tĩnh điện
Chất liệu cửa:
Nhựa 1 lớp
Dòng sản phẩm:
2024
Sản xuất tại:
Thái Lan";11000000;;;;;;;;;;;;;;;;;;
45;Điện lạnh;Tủ lạnh;Tủ lạnh Shap;SJ-FXPI700V-GBK;"Kiểu tủ:
Multi Door - 4 cánh
Dung tích tổng:
678 lít
Dung tích sử dụng:
611 lít - Trên 5 người
Dung tích ngăn đá:
216 lít
Dung tích ngăn lạnh:
395 lít
Chất liệu cửa tủ lạnh:
Mặt kính
Chất liệu khay ngăn lạnh:
Kính cường lực
Chất liệu ống dẫn gas, dàn lạnh:
Ống dẫn gas bằng Nhôm - Lá tản nhiệt bằng Nhôm
Năm ra mắt:
2025
Sản xuất tại:
Thái Lan";27500000;;;;;;;;;;;;;;;;;;
46;Điện lạnh;Tủ lạnh;Tủ lạnh Hitachi;R-FW690PGV7 GBK;"Ngăn đá trên
Model	R-FW690PGV7
Số cửa	4 cửa
Dòng	Big French
Tiêu chuẩn
Cửa kính
Dung tích (Tổng / Danh định) (L)	586 / 540
Dung tích sử dụng (L)	Dung tích ngăn đá : 144
Kích thước (mm)	Rộng : 855
Cao : 1835
Sâu bao gồm tay cầm : 737
Sâu không bao gồm tay cầm : 727
INVERTER x Hệ Thống Quạt Kép
Ngăn lạnh	Ngăn trữ chuyển đổi
Khay kính cường lực
Bình chứa nước với bộ lọc (lấy nước bên ngoài)
Đèn LED
Ngăn rau quả dung tích lớn với lớp giữ ẩm
Ngăn đá	Khay đá xoay di chuyển được
Cấp đông nhanh
Khay kính cường lực
Đèn LED
Tính năng khác	Cảm biến kép thông minh (Cảm biến nhiệt Eco)
Lấy nước bên ngoài
Bảng điều khiển cảm ứng
Màng lọc Nano Titanium
Chuông báo rò rỉ khí lạnh
Tính năng chung	Chất làm lạnh R-600a / Không CFC / Không HFC / Không đóng tuyết/ Đệm kín cửa chống mốc
Màu	Đen thủy tinh (GBK) / Nâu thủy tinh (GBW)
Nguồn điện (Điện áp, tần số)	220-240V, 50Hz
Nhãn năng lượng	Tiêu chuẩn Việt Nam : TCVN7828:2016, TCVN7829:2016
Cấp hiệu suất năng lượng : 5 sao
Sản xuất tại	Thái Lan";21500000;;;;;;;;;;;;;;;;;;
